Series	Test_Fold	Model	Descriptors	Weight	Metric	Value
Unweighted	3	LogisticRegression	Klek	Average	Recall	0.35245
Weighted	4	LogisticRegression	Klek	High	Recall	0.37792
Weighted	4	LogisticRegression	Klek	Low	Recall	0.37225
Weighted	4	LogisticRegression	Klek	Average	Recall	0.41462
Weighted	4	LogisticRegression	Klek	Unknown	Recall	0.62576
Unweighted	4	LogisticRegression	Klek	High	Recall	0.34714
Unweighted	4	LogisticRegression	Klek	Low	Recall	0.36271
Unweighted	4	LogisticRegression	Klek	Average	Recall	0.40067
Unweighted	4	LogisticRegression	Klek	Unknown	Recall	0.64568
Weighted	2	LogisticRegression	Klek	High	Recall	0.52846
Weighted	2	LogisticRegression	Klek	Average	Recall	0.5097
Weighted	2	LogisticRegression	Klek	Low	Recall	0.52005
Weighted	2	LogisticRegression	Klek	Unknown	Recall	0.66791
Unweighted	2	LogisticRegression	Klek	High	Recall	0.50158
Unweighted	2	LogisticRegression	Klek	Average	Recall	0.47418
Unweighted	2	LogisticRegression	Klek	Low	Recall	0.49246
Unweighted	2	LogisticRegression	Klek	Unknown	Recall	0.67684
Weighted	0	LogisticRegression	Morgan	Unknown	Recall	0.73761
Weighted	0	LogisticRegression	Morgan	Average	Recall	0.62555
Weighted	0	LogisticRegression	Morgan	High	Recall	0.54068
Weighted	0	LogisticRegression	Morgan	Low	Recall	0.5706
Unweighted	0	LogisticRegression	Morgan	Unknown	Recall	0.72915
Unweighted	0	LogisticRegression	Morgan	Average	Recall	0.62003
Unweighted	0	LogisticRegression	Morgan	High	Recall	0.53873
Unweighted	0	LogisticRegression	Morgan	Low	Recall	0.57348
Weighted	1	LogisticRegression	Morgan	High	Recall	0.30131
Weighted	1	LogisticRegression	Morgan	Unknown	Recall	0.57542
Weighted	1	LogisticRegression	Morgan	Average	Recall	0.34031
Weighted	1	LogisticRegression	Morgan	Low	Recall	0.34812
Unweighted	1	LogisticRegression	Morgan	High	Recall	0.307
Unweighted	1	LogisticRegression	Morgan	Unknown	Recall	0.59657
Unweighted	1	LogisticRegression	Morgan	Average	Recall	0.32488
Unweighted	1	LogisticRegression	Morgan	Low	Recall	0.35972
Weighted	2	LogisticRegression	Morgan	High	Recall	0.43344
Weighted	2	LogisticRegression	Morgan	Unknown	Recall	0.61112
Weighted	2	LogisticRegression	Morgan	Low	Recall	0.46034
Weighted	2	LogisticRegression	Morgan	Average	Recall	0.44966
Unweighted	2	LogisticRegression	Morgan	High	Recall	0.39557
Unweighted	2	LogisticRegression	Morgan	Unknown	Recall	0.62472
Unweighted	2	LogisticRegression	Morgan	Low	Recall	0.44582
Unweighted	2	LogisticRegression	Morgan	Average	Recall	0.4212
Weighted	3	LogisticRegression	Morgan	Unknown	Recall	0.64782
Weighted	3	LogisticRegression	Morgan	Low	Recall	0.37317
Weighted	3	LogisticRegression	Morgan	High	Recall	0.34486
Weighted	3	LogisticRegression	Morgan	Average	Recall	0.42938
Unweighted	3	LogisticRegression	Morgan	Unknown	Recall	0.66552
Unweighted	3	LogisticRegression	Morgan	Low	Recall	0.35219
Unweighted	3	LogisticRegression	Morgan	High	Recall	0.31022
Unweighted	3	LogisticRegression	Morgan	Average	Recall	0.40641
Weighted	4	LogisticRegression	Morgan	High	Recall	0.41475
Weighted	4	LogisticRegression	Morgan	Unknown	Recall	0.59745
Weighted	4	LogisticRegression	Morgan	Low	Recall	0.4114
Weighted	4	LogisticRegression	Morgan	Average	Recall	0.45062
Unweighted	4	LogisticRegression	Morgan	High	Recall	0.35306
Unweighted	4	LogisticRegression	Morgan	Unknown	Recall	0.58438
Unweighted	4	LogisticRegression	Morgan	Low	Recall	0.38983
Unweighted	4	LogisticRegression	Morgan	Average	Recall	0.41235
Weighted	0	LogisticRegression	ChemBERTa	High	Recall	0.46524
Weighted	0	LogisticRegression	ChemBERTa	Unknown	Recall	0.56091
Weighted	0	LogisticRegression	ChemBERTa	Average	Recall	0.47101
Weighted	0	LogisticRegression	ChemBERTa	Low	Recall	0.49592
Unweighted	0	LogisticRegression	ChemBERTa	High	Recall	0.52465
Unweighted	0	LogisticRegression	ChemBERTa	Unknown	Recall	0.57154
Unweighted	0	LogisticRegression	ChemBERTa	Average	Recall	0.52464
Unweighted	0	LogisticRegression	ChemBERTa	Low	Recall	0.54313
Weighted	3	LogisticRegression	ChemBERTa	Unknown	Recall	0.43276
Weighted	3	LogisticRegression	ChemBERTa	Low	Recall	0.37207
Weighted	3	LogisticRegression	ChemBERTa	High	Recall	0.3124
Weighted	3	LogisticRegression	ChemBERTa	Average	Recall	0.3258
Unweighted	3	LogisticRegression	ChemBERTa	Unknown	Recall	0.47586
Unweighted	3	LogisticRegression	ChemBERTa	Low	Recall	0.40693
Unweighted	3	LogisticRegression	ChemBERTa	High	Recall	0.33577
