Dataset	Descriptors	Metric	Model	Mean	STD
Secondary	MACCS	ROC AUC	LogisticRegression	0.57682	0.03768
Secondary	MACCS	ROC AUC	RandomForestClassifier	0.60889	0.04408
Secondary	MACCS	ROC AUC	XGBClassifier	0.617	0.0404
Secondary	MACCS	Recall	LogisticRegression	0.5694	0.2012
Secondary	MACCS	Recall	RandomForestClassifier	0.66165	0.14474
Secondary	MACCS	Recall	XGBClassifier	0.62984	0.14734
Secondary	MACCS	Specificity	LogisticRegression	0.52487	0.19727
Secondary	MACCS	Specificity	RandomForestClassifier	0.46438	0.15129
Secondary	MACCS	Specificity	XGBClassifier	0.51887	0.14611
Secondary	Morgan	Accuracy	LogisticRegression	0.56035	0.02539
Secondary	Morgan	Accuracy	RandomForestClassifier	0.58253	0.03411
Secondary	Morgan	Accuracy	XGBClassifier	0.58771	0.0273
Secondary	Morgan	Balanced Accuracy	LogisticRegression	0.55325	0.02676
Secondary	Morgan	Balanced Accuracy	RandomForestClassifier	0.5667	0.03528
Secondary	Morgan	Balanced Accuracy	XGBClassifier	0.57462	0.02455
Secondary	Morgan	F1 Score	LogisticRegression	0.60858	0.04907
Secondary	Morgan	F1 Score	RandomForestClassifier	0.61734	0.10229
Secondary	Morgan	F1 Score	XGBClassifier	0.63357	0.07417
Secondary	Morgan	GeomRS	LogisticRegression	0.54216	0.03414
Secondary	Morgan	GeomRS	RandomForestClassifier	0.51406	0.0921
Secondary	Morgan	GeomRS	XGBClassifier	0.54871	0.0493
Secondary	Morgan	HarmRS	LogisticRegression	0.53163	0.04339
Secondary	Morgan	HarmRS	RandomForestClassifier	0.47423	0.13386
Secondary	Morgan	HarmRS	XGBClassifier	0.52578	0.0739
Secondary	Morgan	MCC	LogisticRegression	0.10688	0.05305
Secondary	Morgan	MCC	RandomForestClassifier	0.14378	0.07047
Secondary	Morgan	MCC	XGBClassifier	0.1555	0.04615
Secondary	Morgan	Precision	LogisticRegression	0.6227	0.05854
Secondary	Morgan	Precision	RandomForestClassifier	0.64286	0.05858
Secondary	Morgan	Precision	XGBClassifier	0.64205	0.05547
Secondary	Morgan	ROC AUC	LogisticRegression	0.58178	0.03544
Secondary	Morgan	ROC AUC	RandomForestClassifier	0.61725	0.03624
Secondary	Morgan	ROC AUC	XGBClassifier	0.62048	0.02974
Secondary	Morgan	Recall	LogisticRegression	0.60531	0.08753
Secondary	Morgan	Recall	RandomForestClassifier	0.63108	0.20182
Secondary	Morgan	Recall	XGBClassifier	0.64561	0.14344
Secondary	Morgan	Specificity	LogisticRegression	0.50119	0.11029
Secondary	Morgan	Specificity	RandomForestClassifier	0.50231	0.23487
Secondary	Morgan	Specificity	XGBClassifier	0.50362	0.16181
Secondary	RDKit	Accuracy	LogisticRegression	0.56946	0.03861
Secondary	RDKit	Accuracy	RandomForestClassifier	0.58494	0.0337
Secondary	RDKit	Accuracy	XGBClassifier	0.58486	0.02967
Secondary	RDKit	Balanced Accuracy	LogisticRegression	0.56141	0.03024
Secondary	RDKit	Balanced Accuracy	RandomForestClassifier	0.56068	0.02493
Secondary	RDKit	Balanced Accuracy	XGBClassifier	0.57089	0.02713
Secondary	RDKit	F1 Score	LogisticRegression	0.58326	0.11383
Secondary	RDKit	F1 Score	RandomForestClassifier	0.65293	0.06828
Secondary	RDKit	F1 Score	XGBClassifier	0.63323	0.06561
Secondary	RDKit	GeomRS	LogisticRegression	0.52805	0.04954
Secondary	RDKit	GeomRS	RandomForestClassifier	0.52064	0.05994
Secondary	RDKit	GeomRS	XGBClassifier	0.55117	0.04339
Secondary	RDKit	HarmRS	LogisticRegression	0.49816	0.07131
Secondary	RDKit	HarmRS	RandomForestClassifier	0.48781	0.09455
Secondary	RDKit	HarmRS	XGBClassifier	0.53338	0.0631
Secondary	RDKit	MCC	LogisticRegression	0.13047	0.06147
Secondary	RDKit	MCC	RandomForestClassifier	0.13367	0.05228
Secondary	RDKit	MCC	XGBClassifier	0.14648	0.05409
Secondary	RDKit	Precision	LogisticRegression	0.63994	0.03523
Secondary	RDKit	Precision	RandomForestClassifier	0.62202	0.04281
Secondary	RDKit	Precision	XGBClassifier	0.6367	0.04399
Secondary	RDKit	ROC AUC	LogisticRegression	0.5934	0.04059
Secondary	RDKit	ROC AUC	RandomForestClassifier	0.61268	0.0391
Secondary	RDKit	ROC AUC	XGBClassifier	0.61843	0.0399
Secondary	RDKit	Recall	LogisticRegression	0.56654	0.1919
Secondary	RDKit	Recall	RandomForestClassifier	0.7035	0.14167
Secondary	RDKit	Recall	XGBClassifier	0.64284	0.12495
Secondary	RDKit	Specificity	LogisticRegression	0.55627	0.19024
Secondary	RDKit	Specificity	RandomForestClassifier	0.41787	0.1486
Secondary	RDKit	Specificity	XGBClassifier	0.49893	0.13499
