Stratification	Sub-category	Metric	Value
Weight	Average	ROC AUC	0.4962
Weight	Low	ROC AUC	0.46951
Weight	High	ROC AUC	0.4901
Weight	Unknown	ROC AUC	0.56446
Weight	Average	ROC AUC	0.62536
Weight	Low	ROC AUC	0.58726
Weight	Unknown	ROC AUC	0.59382
Weight	High	ROC AUC	0.61125
Weight	Average	ROC AUC	0.56663
Weight	Low	ROC AUC	0.54608
Weight	Unknown	ROC AUC	0.57849
Weight	High	ROC AUC	0.57028
Weight	High	PRC AUC	0.36377
Weight	Low	PRC AUC	0.36242
Weight	Average	PRC AUC	0.3782
Weight	Unknown	PRC AUC	0.58178
Weight	High	PRC AUC	0.51482
Weight	Low	PRC AUC	0.55891
Weight	Average	PRC AUC	0.52381
Weight	Unknown	PRC AUC	0.6284
Weight	High	PRC AUC	0.48054
Weight	Low	PRC AUC	0.54913
Weight	Average	PRC AUC	0.53237
Weight	Unknown	PRC AUC	0.60957
Weight	High	PRC AUC	0.63852
Weight	Low	PRC AUC	0.66641
Weight	Average	PRC AUC	0.65755
Weight	Unknown	PRC AUC	0.68029
Weight	Average	PRC AUC	0.50232
Weight	Low	PRC AUC	0.4566
Weight	High	PRC AUC	0.49051
Weight	Unknown	PRC AUC	0.61221
Weight	Average	PRC AUC	0.57854
Weight	Low	PRC AUC	0.55924
Weight	High	PRC AUC	0.57674
Weight	Unknown	PRC AUC	0.64687
Weight	Average	PRC AUC	0.44866
Weight	Low	PRC AUC	0.44447
Weight	High	PRC AUC	0.40238
Weight	Unknown	PRC AUC	0.58273
Weight	Average	PRC AUC	0.59412
Weight	Low	PRC AUC	0.56653
Weight	High	PRC AUC	0.57108
Weight	Unknown	PRC AUC	0.63721
Weight	Average	PRC AUC	0.60213
Weight	Low	PRC AUC	0.47547
Weight	Unknown	PRC AUC	0.65088
Weight	High	PRC AUC	0.55876
Weight	Average	PRC AUC	0.66691
Weight	Low	PRC AUC	0.5865
Weight	Unknown	PRC AUC	0.67559
Weight	High	PRC AUC	0.64947
Weight	High	Brier	0.27385
Weight	Low	Brier	0.27798
Weight	Average	Brier	0.28241
Weight	Unknown	Brier	0.24892
Weight	High	Brier	0.27385
Weight	Low	Brier	0.27798
Weight	Average	Brier	0.28241
Weight	Unknown	Brier	0.24892
Weight	High	Brier	0.27106
Weight	Low	Brier	0.27134
Weight	Average	Brier	0.27349
Weight	Unknown	Brier	0.24123
Weight	High	Brier	0.27106
Weight	Low	Brier	0.27134
Weight	Average	Brier	0.27349
Weight	Unknown	Brier	0.24123
Weight	Average	Brier	0.25628
Weight	Low	Brier	0.26355
Weight	High	Brier	0.25546
Weight	Unknown	Brier	0.24131
Weight	Average	Brier	0.25628
Weight	Low	Brier	0.26355
Weight	High	Brier	0.25546
Weight	Unknown	Brier	0.24131
Weight	Average	Brier	0.26332
Weight	Low	Brier	0.26707
Weight	High	Brier	0.26997
Weight	Unknown	Brier	0.24433
Weight	Average	Brier	0.26332
Weight	Low	Brier	0.26707
Weight	High	Brier	0.26997
Weight	Unknown	Brier	0.24433
Weight	Average	Brier	0.25399
Weight	Low	Brier	0.25526
Weight	Unknown	Brier	0.23959
Weight	High	Brier	0.26065
Weight	Average	Brier	0.25399
Weight	Low	Brier	0.25526
Weight	Unknown	Brier	0.23959
Weight	High	Brier	0.26065
Sex	Unknown	AFT	0.49
Sex	Male	AFT	0.43100000000000005
Sex	Female	AFT	0.48600000000000004
Age	Elderly	AFT	0.42284999999999995
Age	Adult	AFT	0.45838
Age	Unknown	AFT	0.49667
Age	Children	AFT	0.513
Age	Adolescent	AFT	0.55474
Weight	Average	AFT	0.43348
Weight	Unknown	AFT	0.52915
Weight	High	AFT	0.40229
Weight	Low	AFT	0.41994
